address,amount,pending,blacklist
0x5e3773713f0a20806168d633652b905ee7253f83," 5,321,096 ",No,0xa1c80355e5633d5d6c50345bc362de6320e8ad7a
0x3c1acf05c4dcc8ef94cf7ff48f64f5757aafb9db," 4,707,501 ",No,0x4d51dcd9ac2626acfcee960074387eb2065773c2
0x43d4b4551bc9cd2f1770e5fc59b043043a80d167," 7,355,263 ",No,0xfa5d19dcbfb67f230702b99c4aebb09019e4a151
0xcb692809bf98a8201648b3c81f7231230f5cdfb1," 1,491,788 ",No,0x814327104c7c2b626105c6d05c9121da00622c44
0x6d96254e563907d0b73a5cbaadeea761a20cd8cb," 1,626,707 ",No,0x24670241d16c6bf56489b090e02cb863bd82d105
0xd6c3ab79fb514b69bb5de2db10b3dd61d9f552ce, 0 ,No,0x42b99069b26ba2eb1e45f70f593d22da00cc8b4d
0xc3358e2696d5ac0474793ad410b248fd75c38769," 42,265,888,711 ",No,0xcb05a5c6844af14e0e0191b16395297cc41a6159
0x6d4d310c4953665c8bbd6b19a6df39d03071bc26," 13,995,455,134 ",No,0xa8a9b183782fb430f80a6a3d2f454c852be33871
0x00000000f7b7d8a2974a129cbadd9f2f99c1ff80, 0 ,No,0xf7e437311cadf33a93a20cd253406bfc43935bba
0xce7fca2a97c7db2ad41f8bfac0222390c2ed2feb," 45,951 ",No,0xe5a1be0eeb2685ccdcddb4daca7b23e58fe235f6
0x235895176fa6be26059fb4baaa8d678be8ae65fa," 261,264 ",No,0x6e5e37e74b72b1ff982af10ceb8e44fb81e4b855
0x2bbe3bb0c18ddd2047730575adbd6da65c4ee039," 1,000 ",No,0xfcb6a9f3ffe734971d5bbd74b32115e14bc4be3c
0x41a765f327b9158f5e492f2a055427471c895e4d," 40,168,691,244 ",No,0x657216b83a990e26063b6e12e5463e494140668b
0xed5c20e3cf63bd5c586e04f96ff7b550464bac93," 66,402 ",No,0x0e9e8dbdc78d52f6c98797a4cd2c6450872c1c16
0x38bd968e52687706eb7263681f22b6e472ef3864," 54,786 ",No,0xf43f8fc528923a117cef9bda87e2de77b25296b4
0x9fce715bff0ae37c2cb7c7eb653bcbc62868ed73," 51,686 ",No,0x4f97dca660817e89d93c38efb1f461ef50fea125
